beatmapset_id,beatmap_id,approved_str,version,star_rating,include,notes
2389421,5171308,graveyard,ExstreamZ,12.0336,0,
1884123,3879264,graveyard,Ai no Sukima,11.9159,0,
2328247,4991867,graveyard,Kobaryo - Villain Virus feat.Camellia,11.8647,0,
2328247,4991863,graveyard,[500BPM Edit] rejection - Aimai Attitude (feat. Nakamura Sanso),11.4198,0,
2425470,5279690,graveyard,1.2x,11.4151,0,
2424240,5276557,graveyard,OVERDO$E (LIELESS HARDTEKK BOOTLEG),11.3789,0,
2424240,5276553,graveyard,Little Poor Me (2024 Rework),11.2942,0,
2302404,4921082,graveyard,speedtest 1.11x (400bpm),11.2229,0,
2203623,4664405,graveyard,Promise The Moon 1.3x,11.1793,0,
1884123,3879864,graveyard,Marshall Maximizer,11.1782,0,
2423962,5275315,graveyard,yabai 1.2x,11.161,0,
2425470,5279687,graveyard,1.15x,11.1128,0,
2110053,4429061,graveyard,Annihilation,11.1015,0,
2551011,5683162,pending,HEURISTICAL ALGORITHMS,11.0968,0,
2289193,4885202,graveyard,Stream Style [1.2x Rate],11.0448,0,
1257288,2612530,graveyard,Apparition,11.0355,0,
2297876,4909514,graveyard,Surreal Complexity,11.0005,0,
2083172,4362922,graveyard,Lunaticon (KawaiiBass),10.8947,0,
2420995,5268276,graveyard,^^,10.869,0,
2424240,5276549,graveyard,Endless Night,10.8678,0,
2328247,4991859,graveyard,[500BPM Edit] Gram vs. Kobaryo - Yggdrasil,10.8676,0,
2266618,4917455,graveyard,stream 350bpm,10.8293,0,
2137348,4498028,graveyard,Kobaryo - Yuugure,10.8263,0,
1693377,3460231,graveyard,^^ 1.3x (173bpm),10.822,0,
2389421,5520369,graveyard,streamZ,10.821,0,
2411298,5236060,graveyard,FANTASY,10.8069,0,
2424240,5276558,graveyard,PINK LIKE SUKI,10.8021,0,
2328247,4991862,graveyard,[500BPM Edit] momone chinoi - Diannao Mienmien Mao,10.7967,0,
2328247,4991861,graveyard,[500BPM Edit] katagiri & hanacco - Kahen reishiki zettai kyomei hakai kosen,10.7934,0,
2425470,5279688,graveyard,1.1x,10.7882,0,
2520506,5562963,graveyard,I'm your favorite sidekick 1.2x,10.7689,0,
2328247,4991860,graveyard,[500BPM Edit] Hiiragi Magnetite - TETORIS,10.7407,0,
2275194,4848133,graveyard,Speed Insanity,10.7268,0,
2328247,4991866,graveyard,Katagiri - Breakcore KakumeiZenya (Exodus ver.),10.7159,0,
2464181,5393102,graveyard,1.4x,10.7044,0,
2424240,5276555,graveyard,"Misogibarai no Kamiumi ha Notamai, Magabarai no Shokuzai ha Chikau.",10.7041,0,
1884123,3896118,graveyard,Ukigumo,10.7003,0,
2371160,5123956,graveyard,O280TECHNO,10.6938,0,
2470987,5412841,graveyard,GRANDSLAM,10.6922,0,
2424240,5276564,graveyard,"Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo.",10.6802,0,
